Hospital,Multi-Acute System,Cohort,Zip Code,IdOrgHosp,Full City and State,City/Town,State,County,Hospital Specific Rank of ZIP Code Discharges,Hospital Specific Discharges From a ZIP Code                     (A),Total Hospital Discharges                  (B),Total Discharges for ZIP Code                  (C),ZIP Code Level Discharges as a % of Total Hospital Discharges                        (=A/B),Hospital Specific Discharges From a ZIP Code as a % of Total ZIP Code Discharges                   (=A/C)
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01337,5,"Bernardston, MA",Bernardston,MA,Franklin County,4,194,5079,289,0.038196495,0.671280277
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01364,5,"Orange, MA",Orange,MA,Franklin County,5,151,5079,953,0.029730262,0.158447009
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01360,5,"Northfield, MA",Northfield,MA,Franklin County,6,150,5079,248,0.029533373,0.60483871
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01331,5,"Athol, MA",Athol,MA,Worcester County,7,138,5079,1928,0.027170703,0.071576763
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01373,5,"South Deerfield, MA",South Deerfield,MA,Franklin County,8,136,5079,377,0.026776925,0.360742706
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01351,5,"Montague, MA",Montague,MA,Franklin County,9,128,5079,227,0.025201811,0.563876652
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01340,5,"Colrain, MA",Colrain,MA,Franklin County,10,118,5079,190,0.02323292,0.621052632
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01344,5,"Erving, MA",Erving,MA,Franklin County,11,114,5079,173,0.022445363,0.658959538
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01339,5,"Charlemont, MA",Charlemont,MA,Franklin County,12,101,5079,166,0.019885804,0.608433735
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01354,5,"Gill, MA",Gill,MA,Franklin County,13,99,5079,174,0.019492026,0.568965517
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01375,5,"Sunderland, MA",Sunderland,MA,Franklin County,14,79,5079,268,0.015554243,0.294776119
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01342,5,"Deerfield, MA",Deerfield,MA,Franklin County,15,72,5079,154,0.014176019,0.467532468
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01349,5,"Millers Falls, MA",Millers Falls,MA,Franklin County,16,60,5079,91,0.011813349,0.659340659
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01002,5,"Amherst, MA",Amherst,MA,Hampshire County,17,58,5079,1647,0.011419571,0.035215543
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01060,5,"Northampton, MA",Northampton,MA,Hampshire County,18.5,50,5079,1619,0.009844458,0.030883261
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01302,5,"Greenfield, MA",Greenfield,MA,Franklin County,18.5,50,5079,79,0.009844458,0.632911392
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01199,5,"Springfield, MA",Springfield,MA,Hampden County,20,42,5079,267,0.008269344,0.157303371
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01341,5,"Conway, MA",Conway,MA,Franklin County,21,40,5079,126,0.007875566,0.317460317
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01379,5,"Wendell, MA",Wendell,MA,Franklin County,22,33,5079,67,0.006497342,0.492537313
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01378,5,"Warwick, MA",Warwick,MA,Franklin County,23,29,5079,85,0.005709785,0.341176471
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01346,5,"Heath, MA",Heath,MA,Franklin County,24,27,5079,41,0.005316007,0.658536585
Baystate Franklin Medical Center,Baystate Health System,"Community, High Public Payer",01330,5,"Ashfield, MA",Ashfield,MA,Franklin County,25,26,5079,124,0.005119118,0.209677419
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01230,8,"Great Barrington, MA",Great Barrington,MA,Berkshire County,1,329,966,895,0.34057971,0.367597765
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01238,8,"Lee, MA",Lee,MA,Berkshire County,2,71,966,721,0.073498965,0.098474341
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01257,8,"Sheffield, MA",Sheffield,MA,Berkshire County,3,62,966,206,0.064182195,0.300970874
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01236,8,"Housatonic, MA",Housatonic,MA,Berkshire County,4,56,966,195,0.057971014,0.287179487
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01201,8,"Pittsfield, MA",Pittsfield,MA,Berkshire County,5,44,966,7457,0.045548654,0.005900496
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01240,8,"Lenox, MA",Lenox,MA,Berkshire County,8,28,966,643,0.028985507,0.043545879
Fairview Hospital,Berkshire Health Systems,"Community, High Public Payer",01222,8,"Ashley Falls, MA",Ashley Falls,MA,Berkshire County,9,27,966,67,0.027950311,0.402985075
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02130,22,"Jamaica Plain, MA",Jamaica Plain,MA,Suffolk County,1,1254,47309,3948,0.026506584,0.317629179
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02124,22,"Dorchester Center, MA",Dorchester Center,MA,Suffolk County,2,1062,47309,6492,0.02244816,0.163585952
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02119,22,"Roxbury, MA",Roxbury,MA,Suffolk County,3,971,47309,4157,0.020524636,0.23358191
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02131,22,"Roslindale, MA",Roslindale,MA,Suffolk County,4,854,47309,3431,0.018051534,0.248907024
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02136,22,"Hyde Park, MA",Hyde Park,MA,Suffolk County,5,821,47309,4067,0.017353992,0.201868699
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02132,22,"West Roxbury, MA",West Roxbury,MA,Suffolk County,6,729,47309,3315,0.01540933,0.219909502
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02121,22,"Dorchester, MA",Dorchester,MA,Suffolk County,7,722,47309,3478,0.015261367,0.207590569
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02446,22,"Brookline, MA",Brookline,MA,Norfolk County,8,576,47309,2118,0.012175273,0.271954674
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02125,22,"Dorchester, MA",Dorchester,MA,Suffolk County,9,565,47309,3535,0.011942759,0.159830269
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02126,22,"Mattapan, MA",Mattapan,MA,Suffolk County,10,515,47309,3221,0.010885878,0.159888233
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02120,22,"Roxbury Crossing, MA",Roxbury Crossing,MA,Suffolk County,11,484,47309,1295,0.010230612,0.373745174
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02026,22,"Dedham, MA",Dedham,MA,Norfolk County,12,471,47309,3323,0.009955822,0.141739392
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02115,22,"Boston, MA",Boston,MA,Suffolk County,13,465,47309,1466,0.009828997,0.317189632
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02445,22,"Brookline, MA",Brookline,MA,Norfolk County,14,457,47309,1482,0.009659896,0.308367072
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02169,22,"Quincy, MA",Quincy,MA,Norfolk County,15,450,47309,7368,0.009511932,0.061074919
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02118,22,"Boston, MA",Boston,MA,Suffolk County,16,433,47309,3868,0.009152593,0.111944157
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02127,22,"Boston, MA",Boston,MA,Suffolk County,17,429,47309,3350,0.009068042,0.128059701
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02301,22,"Brockton, MA",Brockton,MA,Plymouth County,18,414,47309,11364,0.008750978,0.036430834
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02135,22,"Brighton, MA",Brighton,MA,Suffolk County,19,398,47309,3538,0.008412776,0.112492934
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02368,22,"Randolph, MA",Randolph,MA,Norfolk County,20,379,47309,4280,0.008011161,0.088551402
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02062,22,"Norwood, MA",Norwood,MA,Norfolk County,21,378,47309,4371,0.007990023,0.086479067
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02155,22,"Medford, MA",Medford,MA,Middlesex County,22,368,47309,5871,0.007778647,0.062680974
Brigham and Women's Hospital,Partners HealthCare System,Academic Medical Center,02467,22,"Chestnut Hill, MA",Chestnut Hill,MA,Norfolk County,23,367,47309,1300,0.007757509,0.282307692
