Indicator,Name,ORGID ,FACID ,Cohort,Fiscal Year,Value
Total Revenue,Brigham and Women's Hospital,22,2921,Academic Medical Center,FY18,3095566000
Total Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY14,536816925
Total Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY15,585063146
Total Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY16,583939273
Total Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY17,606530424
Total Revenue,Cambridge Health Alliance,3108,2108,Teaching Hospital,FY18,660544986.5
Total Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY14,453688465
Total Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY15,479127174
Total Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY16,518713657
Total Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY17,546087613
Total Revenue,Cape Cod Hospital,39,2135,Community High Public Payer Hospital,FY18,579168473
Total Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY14,26915000
Total Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY15,26658000
Total Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY16,27038000
Total Revenue,Clinton Hospital,132,2126,Community High Public Payer Hospital,FY17,25628000
Total Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY14,153378000
Total Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY15,157414000
Total Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY16,178139000
Total Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY17,187256000
Total Revenue,Cooley Dickinson Hospital,50,2155,Community Hospital,FY18,187249000
Total Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY14,1098160230
Total Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY15,1170583356
Total Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY16,1381541054
Total Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY17,1570742696
Total Revenue,Dana-Farber Cancer Institute,51,2335,Specialty Hospital,FY18,1798495622
Total Revenue,Emerson Hospital,57,2018,Community Hospital,FY14,193301365
Total Revenue,Emerson Hospital,57,2018,Community Hospital,FY15,201751315
Total Revenue,Emerson Hospital,57,2018,Community Hospital,FY16,218019991
Total Revenue,Emerson Hospital,57,2018,Community Hospital,FY17,242362728
Total Revenue,Emerson Hospital,57,2018,Community Hospital,FY18,253423565
Total Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY14,48079695
Total Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY15,51007536
Total Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY16,50881422
Total Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY17,51095615
Total Revenue,Fairview Hospital,8,2052,Community High Public Payer Hospital,FY18,56216469
Total Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY14,158573734
Total Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY15,159068858
Total Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY16,166434952
Total Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY17,164112313
Total Revenue,Falmouth Hospital,40,2289,Community High Public Payer Hospital,FY18,169183382
Total Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY14,116905517
Total Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY15,126134507
Total Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY16,138041567
Total Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY17,142682074
Total Revenue,Harrington Memorial Hospital,68,2143,Community High Public Payer Hospital,FY18,147562009
Total Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY14,163507290
Total Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY15,167334001
Total Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY16,182975980
Total Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY17,191874625
Total Revenue,HealthAlliance-Clinton Hospital,14496,2034,Community High Public Payer Hospital,FY18,203452000
Total Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY14,104062628
Total Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY15,105825932
Total Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY16,112554998
Total Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY17,117191789
Total Revenue,Heywood Memorial Hospital,73,2036,Community High Public Payer Hospital,FY18,125420295
Total Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY14,123496760
Total Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY15,127197263
Total Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY16,143383845
Total Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY17,154844903
Total Revenue,Holyoke Medical Center,77,2145,Community High Public Payer Hospital,FY18,167615948
Total Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY14,822336515
Total Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY15,837646993
Total Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY16,924425554
Total Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY17,943042542
Total Revenue,Lahey Hospital & Medical Center,6546,2033,Teaching Hospital,FY18,1011758198
Total Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY14,230443000
Total Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY15,226412000
Total Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY16,243742000
Total Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY17,250893000
Total Revenue,Lawrence General Hospital,83,2099,Community High Public Payer Hospital,FY18,252374000
Total Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY14,426793264
Total Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY15,427354765
Total Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY16,442139806
Total Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY17,449928000
Total Revenue,Lowell General Hospital,85,2040,Community High Public Payer Hospital,FY18,480315000
Total Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY14,82033000
Total Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY15,81292000
Total Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY16,88871000
Total Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY17,89429000
Total Revenue,Marlborough Hospital,133,2103,Community High Public Payer Hospital,FY18,84472000
Total Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY14,72248000
Total Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY15,74954000
Total Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY16,80139000
Total Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY17,90239000
Total Revenue,Martha's Vineyard Hospital,88,2042,Community Hospital,FY18,90830000
Total Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY14,228692345
Total Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY15,257274257
Total Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY16,259056986
Total Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY17,279067536
Total Revenue,Massachusetts Eye and Ear Infirmary,89,2167,Specialty Hospital,FY18,160747000
Total Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY14,3339296000
Total Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY15,3477339000
Total Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY16,3672121000
Total Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY17,3942643000
Total Revenue,Massachusetts General Hospital,91,2168,Academic Medical Center,FY18,4071223000
Total Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY14,266270000
Total Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY15,271416000
Total Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY16,265380000
Total Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY17,272842000
Total Revenue,MelroseWakefield Hospital (Hallmark Health),3111,2038,Community High Public Payer Hospital,FY18,253632000
Total Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY14,251289500
Total Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY15,273067131
Total Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY16,264103663
Total Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY17,297808175
Total Revenue,Mercy Medical Center,6547,2149,Community High Public Payer Hospital,FY18,300190327
Total Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY14,249364378
Total Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY15,259239579
Total Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY16,249771705
Total Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY17,241660380
Total Revenue,MetroWest Medical Center,3110,2020,Community High Public Payer Hospital,FY18,254378229
Total Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY14,188866283
Total Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY15,199249290
Total Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY16,206952673
Total Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY17,216107863
Total Revenue,Milford Regional Medical Center,97,2105,Community Hospital,FY18,221387764
Total Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY14,116238769
Total Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY15,116114019
Total Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY16,118200012
Total Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY17,119442898
Total Revenue,"Morton Hospital, A Steward Family Hospital",99,2022,Community High Public Payer Hospital,FY18,119370052
Total Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY14,332087000
Total Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY15,333838000
Total Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY16,353546000
Total Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY17,333918000
Total Revenue,Mount Auburn Hospital,100,2071,Teaching Hospital,FY18,347467000
Total Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY14,39775000
Total Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY15,44406000
Total Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY16,47798000
Total Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY17,45888000
Total Revenue,Nantucket Cottage Hospital,101,2044,Community Hospital,FY18,53603000
Total Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY14,49268169
Total Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY15,51911043
Total Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY16,53241200
Total Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY17,54724470
Total Revenue,"Nashoba Valley Medical Center, A Steward Family Hospital",11467,2298,Community High Public Payer Hospital,FY18,58582411
Total Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY14,239185054
Total Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY15,244613018
Total Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY16,242359795.7
Total Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY17,244175301
Total Revenue,New England Baptist Hospital,103,2059,Specialty Hospital,FY18,246085000
Total Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY14,426470000
Total Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY15,441244000
Total Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY16,432494000
Total Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY17,455793000
Total Revenue,Newton-Wellesley Hospital,105,2075,Community Hospital,FY18,492482000
Total Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY14,415999000
Total Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY15,418655000
Total Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY16,419887000
Total Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY17,413924000
Total Revenue,North Shore Medical Center,345,2073,Community High Public Payer Hospital,FY18,423124000
Total Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY14,336505000
Total Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY15,351529005
Total Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY16,358859302
Total Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY17,368695804
Total Revenue,Northeast Hospital,3112,2007,Community High Public Payer Hospital,FY18,379693709
Total Revenue,Quincy Medical Center,112,2151,Community High Public Payer Hospital,FY14,68554166
Total Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY14,418245520
Total Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY15,431432576
Total Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY16,458942711
Total Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY17,461002934
Total Revenue,Saint Vincent Hospital,127,2128,Teaching Hospital,FY18,495763298
Total Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY14,7969160
Total Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY15,5070810
Total Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY16,5220897
Total Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY17,2540027
Total Revenue,Shriners Hospitals for Children - Boston,6963,2316,Specialty Hospital,FY18,8386000
Total Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY14,6491303
Total Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY15,7161696
Total Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY16,8818836
Total Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY17,13457047
Total Revenue,Shriners Hospitals for Children - Springfield,11718,2152,Specialty Hospital,FY18,12183000
Total Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY14,245853569
Total Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY15,260170727
Total Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY16,270626889
Total Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY17,285143102
Total Revenue,Signature Healthcare Brockton Hospital,25,2118,Community High Public Payer Hospital,FY18,297137271
Total Revenue,South Shore Hospital,122,2107,Community Hospital,FY14,494896482
Total Revenue,South Shore Hospital,122,2107,Community Hospital,FY15,563824045
Total Revenue,South Shore Hospital,122,2107,Community Hospital,FY16,570128185
Total Revenue,South Shore Hospital,122,2107,Community Hospital,FY17,602060820
Total Revenue,South Shore Hospital,122,2107,Community Hospital,FY18,616817820
Total Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY14,745651811
Total Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY15,832847369
Total Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY16,829579914
Total Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY17,824116153
Total Revenue,Southcoast Hospital Group,3113,2010,Community High Public Payer Hospital,FY18,849211983
Total Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY14,91343730
Total Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY15,114614565
Total Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY16,123397604
Total Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY17,119834329
Total Revenue,Steward Carney Hospital,42,2003,Teaching Hospital,FY18,118616146
Total Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY14,247029507
Total Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY15,260767317
Total Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY16,273886795
Total Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY17,276585029
Total Revenue,Steward Good Samaritan Medical Center,8701,2101,Community High Public Payer Hospital,FY18,299344336
Total Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY14,201945976
Total Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY15,234889247
Total Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY16,232850995
Total Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY17,236687837
Total Revenue,Steward Holy Family Hospital,75,2225,Community High Public Payer Hospital,FY18,250251355
Total Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY14,173890394
Total Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY15,181449413
Total Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY16,189135708
Total Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY17,189870837
Total Revenue,Steward Norwood Hospital,41,2114,Community High Public Payer Hospital,FY18,194653908
Total Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY14,234315346
Total Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY15,253228834
Total Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY16,264717904
Total Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY17,264358256
Total Revenue,Steward Saint Anne's Hospital,114,2011,Community High Public Payer Hospital,FY18,276918438
Total Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY14,312328863
Total Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY15,326370704
Total Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY16,334334939
Total Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY17,359815758
Total Revenue,Steward St. Elizabeth's Medical Center,126,2085,Teaching Hospital,FY18,381958277
Total Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY14,180800778
Total Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY15,172615381
Total Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY16,178546702
Total Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY17,188893977
Total Revenue,Sturdy Memorial Hospital,129,2100,Community High Public Payer Hospital,FY18,202392767
Total Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY14,700319169
Total Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY15,686126829
Total Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY16,753392958
Total Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY17,785374000
Total Revenue,Tufts Medical Center,104,2299,Academic Medical Center,FY18,887195000
Total Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY14,1523219000
Total Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY15,1533230000
Total Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY16,1632174000
Total Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY17,1702688000
Total Revenue,UMass Memorial Medical Center,3115,2841,Academic Medical Center,FY18,1740761000
Total Revenue,Winchester Hospital,138,2094,Community Hospital,FY14,271510740
Total Revenue,Winchester Hospital,138,2094,Community Hospital,FY15,316583672
Total Revenue,Winchester Hospital,138,2094,Community Hospital,FY16,301374243
Total Revenue,Winchester Hospital,138,2094,Community Hospital,FY17,293858948
Total Revenue,Winchester Hospital,138,2094,Community Hospital,FY18,275830556
